score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
drift sigma 0.04  proposals per point 40  seed 7  kT 2.4943

radius 0.70  waters 44
  move    step    RMS nm     dU/kT     logH     accept
 drift   0.020    0.0044    12.077   -1.551  1.206e-06
 drift   0.020    0.0044    12.090   -1.448  1.320e-06
 drift   0.020    0.0044    13.681   -5.634  4.090e-09
 drift   0.020    0.0044     7.868   -5.888  1.061e-06
 drift   0.020    0.0044    12.691    1.609  1.538e-05
 drift   0.020    0.0045    11.150   -4.055  2.493e-07
 drift   0.020    0.0045     8.519   -6.199  4.054e-07
 drift   0.020    0.0045     8.883   -2.397  1.263e-05
 drift   0.020    0.0045    13.593   -2.804  7.566e-08
 drift   0.020    0.0046    10.273    0.070  3.705e-05
 drift   0.020    0.0046     7.329    1.620  3.315e-03
 drift   0.020    0.0046    15.072   -9.047  3.351e-11
 drift   0.020    0.0046     8.933    1.106  3.988e-04
 drift   0.020    0.0046    12.278   -7.824  1.861e-09
 drift   0.020    0.0046    12.528   -4.040  6.377e-08
 drift   0.020    0.0047    13.393    4.024  8.536e-05
 drift   0.020    0.0048    13.881   -6.006  2.307e-09
 drift   0.020    0.0048    14.408   -6.851  5.856e-10
 drift   0.020    0.0048    11.526   -4.366  1.253e-07
 drift   0.020    0.0048    11.539   -1.143  3.108e-06
 drift   0.020    0.0048    10.411   -8.319  7.342e-09
 drift   0.020    0.0049    15.848   -1.692  2.411e-08
 drift   0.020    0.0049    10.399   -7.269  2.124e-08
 drift   0.020    0.0051    12.541   -8.337  8.568e-10
 drift   0.040    0.0039     7.266  -19.473  2.439e-12
 drift   0.040    0.0040    12.954  -19.963  5.059e-15
 drift   0.040    0.0040     8.156  -16.572  1.823e-11
 drift   0.040    0.0041    14.069  -11.341  9.210e-12
 drift   0.040    0.0041    10.123  -14.168  2.823e-11
 drift   0.040    0.0041    10.662  -24.871  3.700e-16
 drift   0.040    0.0042     9.534  -24.395  1.840e-15
 drift   0.040    0.0042     7.454  -18.125  7.782e-12
 drift   0.040    0.0043    11.889   -3.026  3.328e-07
 drift   0.040    0.0043     8.607  -20.401  2.524e-13
 drift   0.040    0.0043    11.676  -10.761  1.802e-10
 drift   0.040    0.0043     7.317  -10.247  2.356e-08
 drift   0.040    0.0043     9.321  -14.252  5.784e-11
 drift   0.040    0.0044     5.725  -14.528  1.600e-09
 drift   0.040    0.0044    14.558  -10.702  1.071e-11
 drift   0.040    0.0044     4.285  -20.415  1.874e-11
 drift   0.040    0.0044     6.891  -18.804  6.935e-12
 drift   0.040    0.0045     8.407  -21.334  1.213e-13
 drift   0.040    0.0045    14.834   -6.667  4.598e-10
 drift   0.040    0.0045     9.221  -22.362  1.923e-14
 drift   0.040    0.0045     7.981  -24.198  1.059e-14
 drift   0.040    0.0045    11.601  -11.539  8.915e-11
 drift   0.040    0.0046     8.181  -30.873  1.094e-17
 drift   0.040    0.0046    10.248  -17.721  7.128e-13
 drift   0.040    0.0046    11.288  -11.355  1.466e-10
 drift   0.040    0.0046    12.892  -17.609  5.670e-14
 drift   0.040    0.0046    11.914  -24.813  1.121e-16
 drift   0.040    0.0047    11.940  -20.329  9.677e-15
 drift   0.040    0.0047    13.455  -19.833  3.492e-15
 drift   0.040    0.0047     9.534  -16.772  3.760e-12
 drift   0.040    0.0047     3.445  -29.014  8.002e-15
 drift   0.040    0.0047    14.984  -20.290  4.796e-16
 drift   0.040    0.0048    10.449  -18.331  3.170e-13
 drift   0.040    0.0048     8.770  -15.397  3.196e-11
 drift   0.040    0.0049    10.373  -18.039  4.577e-13
 drift   0.040    0.0049    12.553  -12.925  8.608e-12
 drift   0.040    0.0050    16.224   -6.272  1.698e-10
 drift   0.040    0.0050     8.219  -15.672  4.212e-11
 drift   0.040    0.0051    13.355   -8.797  2.396e-10
 drift   0.040    0.0052    11.238  -20.377  1.861e-14
 drift   0.070    0.0042     2.618  -34.231  9.919e-17
 drift   0.070    0.0043     6.415  -48.506  1.407e-24
 drift   0.070    0.0043     2.305  -48.470  8.885e-23
 drift   0.070    0.0044    11.213  -52.965  1.343e-28
 drift   0.070    0.0044    10.674  -58.788  6.806e-31
 drift   0.070    0.0045     5.036  -53.700  3.099e-26
 drift   0.070    0.0045     8.118  -52.547  4.501e-27
 drift   0.070    0.0045     6.026  -45.970  2.620e-23
 drift   0.070    0.0046    10.186  -40.220  1.285e-22
 drift   0.070    0.0046     8.168  -50.389  3.706e-26
 drift   0.070    0.0046    10.211  -26.520  1.117e-16
 drift   0.070    0.0046    12.867  -48.832  1.602e-27
 drift   0.070    0.0046     7.655  -52.933  4.866e-27
 drift   0.070    0.0047     5.688  -52.623  4.741e-26
 drift   0.070    0.0047     8.194  -64.287  3.327e-32
 drift   0.070    0.0047     9.484  -58.217  3.962e-30
 drift   0.070    0.0047    10.261  -61.202  9.209e-32
 drift   0.070    0.0047     4.260  -65.383  5.685e-31
 drift   0.070    0.0047     6.026  -58.660  8.078e-29
 drift   0.070    0.0047     5.011  -59.652  8.257e-29
 drift   0.070    0.0048     8.607  -72.045  9.399e-36
 drift   0.070    0.0048     5.763  -29.361  5.571e-16
 drift   0.070    0.0048     9.158  -46.089  1.015e-24
 drift   0.070    0.0049     8.544  -60.392  1.151e-30
 drift   0.070    0.0049     4.798  -76.542  4.726e-36
 drift   0.070    0.0050     4.235  -69.860  6.625e-33
 drift   0.070    0.0050     7.154  -53.236  5.928e-27
 drift   0.070    0.0050     6.051  -61.040  7.292e-30
 drift   0.070    0.0050     7.454  -62.736  3.286e-31
 drift   0.070    0.0050    13.518  -54.392  3.214e-30
 drift   0.070    0.0051     8.920  -63.332  4.180e-32
 drift   0.070    0.0051     6.715  -55.130  1.383e-27
 drift   0.070    0.0051     6.440  -60.294  1.042e-29
 drift   0.070    0.0051     8.895  -68.314  2.942e-34
 drift   0.070    0.0052    10.148  -61.179  1.054e-31
 drift   0.070    0.0052     6.866  -68.777  1.409e-33
 drift   0.070    0.0053     3.921  -77.829  3.136e-36
 drift   0.070    0.0053    12.666  -47.657  6.339e-27
 drift   0.070    0.0055     8.419  -71.893  1.320e-35
 drift   0.070    0.0055     9.709  -82.156  1.269e-40
 drift   0.100    0.0046     9.083  -83.941  3.983e-41
 drift   0.100    0.0047     3.571 -102.527  8.363e-47
 drift   0.100    0.0047     9.572 -117.898  4.370e-56
 drift   0.100    0.0048     5.763 -117.134  4.231e-54
 drift   0.100    0.0049    10.110 -100.436  9.781e-49
 drift   0.100    0.0049     9.647 -107.029  2.130e-51
 drift   0.100    0.0049     6.101  -98.582  3.440e-46
 drift   0.100    0.0049     8.118 -128.979  2.881e-60
 drift   0.100    0.0049     5.851 -107.194  8.043e-50
 drift   0.100    0.0050     8.607 -110.272  2.352e-52
 drift   0.100    0.0050    13.105 -105.817  2.255e-52
 drift   0.100    0.0050     9.835 -103.622  5.325e-50
 drift   0.100    0.0050     0.927 -108.784  2.254e-48
 drift   0.100    0.0051     7.154 -120.463  3.773e-56
