score system npt_6.0.gro  atoms 21087
train system npt_3.0.gro  R2 [0.757, 0.752, 0.755]
proposals per point 40  seed 21  kT 2.4943

radius 0.50  waters 19
    move    step    RMS nm     dU/kT     accept
  rotate   0.005    0.0034     1.178  3.080e-01
  rotate   0.005    0.0034     1.391  2.489e-01
  rotate   0.005    0.0034     1.165  3.119e-01
  rotate   0.005    0.0034    -1.265  1.000e+00
  rotate   0.005    0.0034    -0.263  1.000e+00
  rotate   0.005    0.0034     0.063  9.393e-01
  rotate   0.005    0.0034    -1.265  1.000e+00
  rotate   0.005    0.0034     0.664  5.148e-01
  rotate   0.005    0.0034    -0.664  1.000e+00
  rotate   0.005    0.0034    -0.263  1.000e+00
  rotate   0.005    0.0034     0.639  5.278e-01
  rotate   0.010    0.0061     2.781  6.196e-02
  rotate   0.010    0.0062     3.896  2.032e-02
  rotate   0.010    0.0062     0.200  8.184e-01
  rotate   0.010    0.0063     2.343  9.606e-02
  rotate   0.010    0.0063     4.172  1.542e-02
  rotate   0.010    0.0063    -0.952  1.000e+00
  rotate   0.010    0.0064     0.952  3.859e-01
  rotate   0.010    0.0064     2.844  5.820e-02
  rotate   0.010    0.0065     3.483  3.072e-02
  rotate   0.010    0.0065     3.571  2.814e-02
  rotate   0.010    0.0065     4.247  1.431e-02
  rotate   0.010    0.0065    -1.854  1.000e+00
  rotate   0.010    0.0065     1.929  1.452e-01
  rotate   0.010    0.0065    -0.025  1.000e+00
  rotate   0.010    0.0066    -0.589  1.000e+00
  rotate   0.010    0.0066     4.047  1.748e-02
  rotate   0.010    0.0066     3.733  2.391e-02
  rotate   0.010    0.0066    -0.338  1.000e+00
  rotate   0.010    0.0066     1.115  3.279e-01
  rotate   0.010    0.0067     1.203  3.004e-01
  rotate   0.010    0.0067     1.315  2.683e-01
  rotate   0.010    0.0067     1.353  2.584e-01
  rotate   0.010    0.0067     1.616  1.987e-01
  rotate   0.010    0.0067     0.313  7.311e-01
  rotate   0.010    0.0067     1.077  3.405e-01
  rotate   0.010    0.0067     2.393  9.136e-02
  rotate   0.010    0.0067     0.464  6.290e-01
  rotate   0.010    0.0067     2.155  1.159e-01
  rotate   0.010    0.0067    -0.388  1.000e+00
  rotate   0.010    0.0067     1.153  3.158e-01
  rotate   0.010    0.0067     0.175  8.391e-01
  rotate   0.010    0.0068     1.566  2.089e-01
  rotate   0.010    0.0068    -0.677  1.000e+00
  rotate   0.010    0.0068     0.614  5.412e-01
  rotate   0.010    0.0068     2.067  1.265e-01
  rotate   0.010    0.0068     1.353  2.584e-01
  rotate   0.010    0.0068     0.038  9.631e-01
  rotate   0.010    0.0068     0.714  4.896e-01
  rotate   0.010    0.0068     0.138  8.713e-01
  rotate   0.010    0.0068    -1.065  1.000e+00
  rotate   0.020    0.0124    10.461  2.863e-05
